"product-block__title","product-price__item"
"Culotte Minimalism - 
                  Blanco","€9.00"
"Culotte Minimalism - 
                  Negro","€9.00"
"Culotte Minimalism x3","€24.00"
"Culotte Minimalism x5","€35.00"
"Culotte Minimalism x7","€43.00"
"Tanga Minimalism - 
                  Blanca","€8.00"
"Tanga Minimalism - 
                  Negra","€8.00"
"Tanga Minimalism x3","€21.00"
"Tanga Minimalism x5","€30.00"
"Tanga Minimalism x7","€35.00"
"Bralette Minimalism - 
                  Blanco","€18.00"
"Bralette Minimalism - 
                  Negro","€18.00"
"Bralette Minimalism x2","€33.00"
"Calcetines Pinkies Orgánicos - Pack 3 uds","€13.00"
"Calcetines Pinkies Orgánicos - Pack 5 uds","€21.00"
"Calcetines Pinkies Orgánicos - Pack 7 uds","€28.00"
"Calcetines Tobilleros Orgánicos - Pack 3 uds","€13.00"
"Calcetines Tobilleros Orgánicos - Pack 5 uds","€21.00"
"Calcetines Orgánicos tobillero x7","€28.00"
"Calcetines Orgánicos - Pack 3 uds","€15.00"
"Calcetines Orgánicos - Pack 5 uds","€23.00"
"Calcetines Orgánicos - Pack 7 uds","€31.00"
"Calcetines urban classics algodón orgánico X3","€19.98"
"Calcetines urban classics algodón orgánico X5","€28.00"
"Calcetines urban classics algodón orgánico X7","€35.98"
