"product-block__title","product-price__item"
"Sudadera algodón orgánico - 
                  Negra","€55.00"
"Sudadera algodón orgánico - 
                  Gris","€55.00"
"Sudadera algodón orgánico - 
                  Verde Oliva","€55.00"
"Sudadera algodón orgánico - 
                  Navy Blue","€55.00"
"Sudadera algodón orgánico - 
                  Lava Grey","€55.00"
"Sudadera algodón orgánico con capucha - 
                  Negra","€65.00"
"Sudadera algodón orgánico con capucha - 
                  Gris","€65.00"
"Sudadera algodón orgánico con capucha - 
                  Verde Oliva","€65.00"
"Sudadera algodón orgánico con capucha - 
                  Navy Blue","€65.00"
"Sudadera algodón orgánico con capucha - 
                  Lava Grey","€65.00"
